# Goethe/ÖSD A1–B1 Wortliste. Source: github.com/ilkermeliksitki/goethe-institute-wordlist
# lemma	level	article	plural	example_de
Ergebnis	a1	das	-se	Das Ergebnis des Tests bekommen Sie in zwei Wochen.
Erholung	b1	die		Ich habe zu viel gearbeitet. Jetzt brauche ich etwas Erholung.
Erhöhung	b1	die		Wir streiken für eine Lohnerhöhung.
Erinnerung	b1	die		An diese Zeit habe ich viele schöne Erinnerungen.
Erklärung	b1	die		Hast du schon die Steuererklärung gemacht?
Erkältung	b1	die		Du hast eine schlimme Erkältung!
Erlaubnis	b1	die		Sie hätten ihn vorher um Erlaubnis bitten müssen.
Erlaubnis (Sg.)	a2	die		Haben Sie eine Arbeitserlaubnis?
Erlebnis	b1	das		Die Reise war ein tolles Erlebnis.
Ermäßigung	a2	die	-en	Für Schüler, Studenten und Rentner gibt es eine Ermäßigung.
Ernährung	b1	die		Ich finde eine gesunde Ernährung wichtig.
Erwachsene	a1	der	-n	Dieser Film ist nur für Erwachsene.
Essen	a1	das		Das Essen ist heute sehr gut.
Essig	b1	der		Am Salat fehlt noch etwas Essig.
Etage	b1	die		Das Büro ist in der 3. Etage, Zimmer 305.
Experte	b1	der		Ich verstehe ein bisschen was von Computern. Aber ich bin kein Experte.
Export	b1	der		Hier ist die Firma Schulz, Import und Export.
Fabrik	b1	die		Ich arbeite in einer Autofabrik.
Fach	a2	das	¨-er	Welches Fach magst du in der Schule am liebsten?
Fachfrau	b1	die		Die suchen Fachleute für dieses Computerprogramm.
Fachleute	b1	die		Die suchen Fachleute für dieses Computerprogramm.
Fachmann	b1	der		Meine Schwester ist Computerfachfrau.
Fahrbahn	b1	die		Fahren Sie bitte vorsichtig. Es sind Kühe auf der Fahrbahn.
Fahrer	a1	der		Bitte nicht mit dem Fahrer sprechen!
Fahrkarte	a1	die	-n	Hast du schon eine Fahrkarte?
Fahrplan	a2	der	¨-e	Ist das der neue Fahrplan?
Fahrrad	a1	das	-ä, er	Fährst du mit dem Fahrrad oder mit dem Auto?
Fahrzeug	b1	das		Wem gehört das Fahrzeug?
Faktor	b1	der		Die Creme hat einen hohen Sonnenschutzfaktor.
Fall	b1	der		Was würden Sie in diesem Fall tun?
Familie	a1	die	-n	Meine Familie lebt in Spanien.
Familienname	a1	der	-n	Meine Familiennamen sind García González.
Familienstand	a1	der		Bei Familienstand musst du ledig ankreuzen.
Fan	a2	der	-s	Er ist ein großer Fußballfan.
Fantasie	b1	die		Mein Sohn malt sehr gut. Er hat viel Fantasie.
Farbe	a1	die	-n	Die Farbe gefällt mir gut.
Faschierte	b1	das		Geben Sie mir bitte 500 g Faschiertes.
Fasching	b1	der		Dort hängt mein Kostüm für den Faschingsumzug.
Fasnacht	b1	die		Dort hängt mein Kostüm für den Fasnachtsumzug.
Fauteuil	b1	der		Ich hätte gern einen bequemen Fauteuil.
Fax	a1	das	-e	Schicken Sie uns einfach ein Fax!
Fehler	a1	der	–	Diesen Fehler mache ich immer.
Feier	a2	die	-n	Wann hast du Feierabend?
Feier-	a1			z. B. Feierabend, Feiertag
Feierabend	b1	der		Einen schönen Feierabend.
Feiertag	b1	der		Am Montag ist Feiertag.
Feld	b1	das		Auf diesem Feld wächst Gemüse.
Fenster	a2	das	-	Kannst du bitte das Fenster öffnen?
Ferien	a2	die		Fährst du in den Ferien weg oder bleibst du zu Hause?
Ferien (Pl.)	a2	die		Bald haben wir Ferien.
Fernbedienung	b1	die		Hast du die Fernbedienung gesehen?
Fernseher	a2	der	-	Der Fernseher ist kaputt.
Fest	a2	das	-e	Frohes Fest!
Festival	a2	das	-s	Am Wochenende ist in der Stadt ein Musik-Festival.
Festplatte	b1	die		Mein Computer hat eine große Festplatte.
Fett	b1	das		Man soll nicht so viel Fett essen.
Feuer	a1	das		Haben Sie Feuer?
Feuerwehr	b1	die		Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.
Feuerzeug	b1	das		Ist das Feuerzeug neu?
Fieber	a1	das		Mein Mann hat noch immer Fieber.
Fieber (Sg.)	a2	das		Sie hat hohes Fieber.
Figur	b1	die		Lars hat eine gute Figur.
Film	a1	der	-e	Ich möchte gern diesen Film sehen.
Finger	b1	der		Alessandro hat sich in den Finger geschnitten.
Firma	a1	die	-en	Er arbeitet jetzt bei einer anderen Firma.
Fisch	a1	der	-e	Ich esse gern Fisch. Fleisch mag ich nicht.
Flasche	a1	die	-n	Eine Flasche Bier, bitte.
Fleck	b1	der		Du hast einen Fleck auf der Bluse.
Fleisch	a1	das		Fleisch mag ich nicht.
Fleisch (Sg.)	a2	das		Fleisch mag ich nicht.
Fleischhauer	b1	der		Dieser Fleischhauer macht sehr gute Wurst.
Flohmarkt	a2	der	¨-e	Ich gehe gern auf den Flohmarkt.
Flucht	b1	die		Der Einbrecher war schon auf der Flucht.
Flug	a2	der	¨-e	Ich möchte einen Flug nach Kanada buchen.
Flughafen	a1	der	¨-	Kannst du mich zum Flughafen bringen?
Flugzeug	a1	das	-e	Das Flugzeug aus Berlin kommt heute später an.
Flur	b1	der		Wir warten draußen im Flur.
Fluss	a2	der	¨-e	Der Rhein ist ein großer Fluss.
Fläche	b1	die		Unsere Wohnung hat eine Wohnfläche von 100 m².
Flöte	b1	die		Sie spielt sehr schön Flöte.
Flüssigkeit	b1	die		Dieses Medikament mit viel Flüssigkeit einnehmen.
Folge	b1	die		Die Folgen des Unfalls waren schlimm.
Forderung	b1	die		Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.
Form	b1	die		Diese Schuhe haben eine schöne Form.
Formular	a1	das	-e	Sie müssen dieses Formular ausfüllen.
Forschung	b1	die		Er arbeitet in der Forschung.
Fortbildung	b1	die		Die Fortbildung, die ich machen will, ist sehr teuer.
Fortschritt	b1	der		Ich habe beim Deutschlernen große Fortschritte gemacht.
Fortsetzung	b1	die		Fortsetzung folgt.
Forum	b1	das		Ich melde mich heute bei diesem Forum an.
Foto	a1	das	-s	Darf ich ein Foto machen?
Fotoapparat	a2	der	-e	Ich möchte mir einen Fotoapparat kaufen.
Fotograf	b1	der		Die Fotografin hat sehr schöne Fotos gemacht.
Fotografie	b1	die		Ich interessiere mich für Fotografie.
Frage	a1	die	-n	Ich habe eine Frage.
Frau	a1	die	-en(1)	Das ist Frau Becker.
Freiheit	b1	die		Wir wollen die Freiheit haben, unsere Meinung sagen zu können.
Freizeit	a1	die		In meiner Freizeit spiele ich oft Fußball.
Freizeit (Sg.)	a2	die		In meiner Freizeit spiele ich oft Fußball.
Fremdsprache	b1	die	-n(1)	Ich spreche drei Fremdsprachen.
Freude	b1	die		Diese Arbeit macht mir viel Freude.
Freund	a1	der	-e(1)	Das ist ein Freund von mir.
Freundin	a2	die	-nen	Das ist meine Freundin Susanne.
Freundschaft	b1	die		Deine Freundschaft ist mir sehr wichtig.
Friede	b1	der		Endlich ist hier Frieden!
Friseur	b1	der		Du siehst toll aus! Wer ist dein Friseur?
Friseurin	b1	der		Meine Tochter will Friseurin werden.
Frist	b1	die		Die Frist für die Anmeldung zum Deutschkurs ist abgelaufen.
Frisur	b1	die		Du hast eine tolle Frisur! Warst du beim Friseur?
Frucht	b1	die		Welche Früchte kann man essen?
Frühstück	a1	das		Möchtest du ein Ei zum Frühstück?
Frühstück (Sg.)	a2	das		Möchtest du ein Ei zum Frühstück?
Fundbüro	b1	das		Sie haben Ihren Schirm verloren. Da fragen Sie am besten im Fundbüro.
Fundsachen	a2	die		Sie können dort bei den Fundsachen schauen.
Fundsachen (Pl.)	a2	die		Haben Sie meinen Schirm gefunden?
Fuß	a1	der	-ü, e	Der linke Fuß tut mir weh.
Fußball	a1	der	¨-e	Spielt ihr gerne Fußball?
Fußgänger	b1	der		Dieser Weg ist nur für Fußgänger.
Fußgängerin	b1	die		Wir treffen uns um 15 Uhr in der Fußgängerzone.
Fähigkeit	b1	die		In seiner Position braucht man die Fähigkeit, andere zu überzeugen.
Fähre	b1	die		Wir nehmen die Fähre über den Bodensee.
Förderung	b1	die		Für das Projekt bekommen wir eine Förderung von der Stadt.
Führerausweis	b1	der		Hast du einen Führerausweis?
Führerschein	a2	der	-e	Hast du den Führerschein?
Führung	a1	die	-en	Die Führung durch das Haus beginnt in 3 Minuten.
Gabel	a2	die	-n	Kann ich bitte eine Gabel haben?
Galerie	b1	die		Diese Galerie ist sehr interessant.
Gang	b1	der		Wir warten draußen im Gang.
Garage	a2	die	-n	Hier ist eine Garage für dein Auto.
Garantie	b1	die		Auf die Waschmaschine haben Sie ein Jahr Garantie.
Garderobe	b1	die		Die Mäntel bitte an der Garderobe abgeben.
Garten	a1	der	¨	Wir haben leider keinen Garten.
Gas	b1	das		Wir kochen mit Gas.
Gast	a1	der	-ä, e	Am Wochenende haben wir mehrere Gäste.
Gasthaus	b1	das		Gehen wir noch in ein Gasthaus ein Bier trinken?
Gaststätte	b1	die		Ich arbeite seit einem Monat in einer Gaststätte.
Gebiet	b1	das		In diesem Gebiet gibt es kaum Industrie.
Gebirge	b1	das		Wir haben unseren Urlaub im Gebirge verbracht.
Gebrauchsanweisung	b1	die		Lesen Sie bitte zuerst die Gebrauchsanweisung.
Geburt	b1	die		Wir gratulieren zur Geburt eures Kindes!
Geburts-(jahr	a2		ort, tag), (-e, -e, -e)	Das Geburtsjahr Ihres Sohnes, bitte?
Geburtsjahr	a1	das		Das Geburtsjahr Ihres Sohnes, bitte?
Geburtsort	a1	der		Bitte schreiben Sie Ihren Geburtsort auf das Formular.
Geburtstag	a1	der		Herzlichen Glückwunsch zum Geburtstag!
Gebäck	b1	das		Das Gebäck ist ganz frisch.
Gebäude	b1	das		In diesem Gebäude sind nur Büros.
Gebühr	b1	die		Die Gebühr liegt bei 60 Euro.
Gedanke	b1	der		Ich muss zuerst meine Gedanken sammeln.
Gedicht	b1	das		Kennst du ein schönes Gedicht?
Geduld	b1	die		Bitte haben Sie etwas Geduld.
Gefahr	b1	die		Betreten der Baustelle auf eigene Gefahr.
Gefängnis	b1	das		Er wurde zu fünf Jahren Gefängnis verurteilt.
Gefühl	b1	das		Ich glaube, ich schaffe die Prüfung. Ich habe ein gutes Gefühl.
Gegend	b1	die		Der Schwarzwald ist eine sehr schöne Gegend.
Gegensatz	b1	der		Diese beiden Meinungen stehen in starkem Gegensatz zueinander.
Gegenstand	b1	der		Ich schließe meine persönlichen Gegenstände im Schwimmbad lieber in ein Fach ein.
Gegenteil	a2	das	-e	Das Gegenteil von klein ist „groß“.
Gegner	b1	der		Sie ist eine Gegnerin von …
Gehalt	a2	das	¨-er	Sie ist mit ihrem Gehalt zufrieden.
Geheimnis	b1	das		Das kann ich dir nicht sagen. Das ist ein Geheimnis.
Geld	a1	das		Hast du noch Geld?
Geld (Sg.)	a2	das		Hast du noch Geld?
Geldautomat	b1	der		Ich hole noch Geld vom Geldautomaten.
Geldbörse	a2	die	-n	Sie hat ihre Geldbörse verloren.
Gelegenheit	b1	die		Das Fest ist eine gute Gelegenheit, unsere Freunde zu sehen.
Gemeinschaft	b1	die		Rauchen ist in den Gemeinschaftsräumen nicht erlaubt.
Gemüse	a1	das		Gemüse brauchen wir auch noch.
Gemüse (Sg.)	a2	das		Wir kaufen das Gemüse immer auf dem Markt.
Generation	b1	die		In diesem Haus wohnen drei Generationen zusammen.
Gepäck	a1	das		Wollen Sie Ihr Gepäck mitnehmen?
Gepäck (Sg.)	a2	das		Wollen Sie Ihr Gepäck mitnehmen?
Gericht	a2	das	-e	Mein Lieblingsgericht ist Pizza.
Gerät	a2	das	-e	Elektrogeräte finden Sie im dritten Stock.
Geschenk	a1	das	-e	Danke für das schöne Geschenk.
Geschichte	a2	die	-n	Erzählst du mir eine Geschichte?
Geschirr	b1	das		Für die Geburtstagsfeier brauche ich Geschirr für zwölf Personen.
Geschirr (Sg.)	a2	das		Stellst du bitte das Geschirr in den Schrank?
Geschlecht	b1	das		Bitte kreuzen Sie an: „Geschlecht: weiblich/männlich“.
Geschmack	b1	der		Ich möchte bitte Kaugummi mit Erdbeergeschmack.
Geschwindigkeit	b1	die		Das Auto fuhr mit zu hoher Geschwindigkeit.
Geschwindigkeitsbeschränkung	b1	die		Bitte beachten Sie die Geschwindigkeitsbeschränkungen.
Geschwister	b1	die		Die Geschwister sehen sich nur selten.
Geschwister (pl.)	a1	die		Ich habe leider keine Geschwister.
Geschäft	a1	das	-e	Die Geschäfte schließen um 18.30 Uhr.
Gesellschaft	b1	die		Er will die Gesellschaft verändern.
Gesetz	b1	das		Das Parlament hat ein neues Gesetz beschlossen.
Gesicht	a2	das	-er	Wasch dir bitte das Gesicht.
Gespräch	a1	das	-e	Das Gespräch mit Frau Kunz ist um 14 Uhr.
Gesundheit	b1	die		Sie müssen mehr auf Ihre Gesundheit achten.
Gesundheit (Sg.)	a2	die		Gesundheit! Sind Sie erkältet?
Getränk	a1	das	-e	Mein Lieblingsgetränk ist Tomatensaft.
Gewalt	b1	die		Ich mag keine Filme, in denen Gewalt vorkommt.
Gewerkschaft	b1	die		Die Gewerkschaft vertritt die Interessen der Arbeitnehmer.
Gewicht	a1	das		Bei Gewicht schreibst du: 62 Kilo.
Gewinn	b1	der		Ich habe bei einem Ratespiel mitgemacht. Der Hauptgewinn ist ein Auto.
Gewissen	b1	das		Ich habe deinen Geburtstag vergessen. Ich habe ein ganz schlechtes Gewissen.
Gewitter	a2	das	-	Ich glaube, es gibt heute ein Gewitter.
Gewohnheit	b1	die		Er hat die Gewohnheit, morgens zuerst die Post zu erledigen.
Gewürz	b1	das		Von den scharfen Gewürzen bekommt man Durst.
Gift	b1	das		Vorsicht, das Gift dieser Pflanze ist für Menschen gefährlich!
Girokonto	b1	das	-en(1)	Mein Girokonto kostet gar nichts.
Gitarre	a2	die	-n	Er kann gut Gitarre spielen.
Glace/Glacé	b1	die		Zum Dessert gibt es Schokoladenglace.
Glas	a1	das	-ä, er	Bitte noch ein Glas Wein!
Gleis	a1	das	-e	Der ICE nach Berlin hält heute an Gleis 12.
Glück	a1	das		Viel Glück!
Glück (Sg.)	a2	das		Viel Glück!
Glückwunsch	a1	der	¨-e	Herzlichen Glückwunsch zum Geburtstag.
Gold	b1	das		Ist der Ring aus Gold? Nein, der sieht nur so aus.
Golf	b1		das Golfspiel(1)	Kannst du Golf spielen?
Gott	b1	der		Glaubst du an Gott?
Grad (Celsius)	a1			Heute haben wir dreißig Grad.
Grafik	b1	die		Die Grafik zeigt die Temperaturen im letzten Jahr.
Gras	b1	das		Wir lagen den ganzen Tag im Gras.
Gratulation	b1	die		Herzliche Gratulation! Sie haben gewonnen!
Grenze	b1	die		An der Grenze musst du deinen Ausweis zeigen.
Grill	b1	der		Kannst du mir deinen Grill leihen? Wir wollen am Wochenende ein Picknick machen.
Grippe	b1	die		Ich habe eine Grippe und kann leider nicht kommen.
Grippe (Sg.)	a2	die		Ich habe eine Grippe und kann leider nicht kommen.
Groß-	b1			z.B. die Großeltern, die Großmutter, der Großvater
Großeltern (pl.)	a1	die		Meine Großeltern leben in Japan.
Großmutter	a1	die		Meine Großmutter heißt Eva.
Großvater	a1	der		Mein Großvater ist schon 80.
Grund	b1	der		Sie haben Ihre Stelle gekündigt. Aus welchem Grund?
Grundstück	b1	das		Wir wollen ein Haus bauen und suchen ein günstiges Grundstück.
Gruppe	a1	die	-n	Die erste Gruppe beginnt um 16 Uhr.
Gruß	a1	der	-ü, e(1)	Viele Grüße an Ihre Frau.
Größe	a1	die	-n	Haben Sie das auch in Größe 40?
Gymnastik	b1	die		Ich mache jeden Morgen Gymnastik.
Haar	a1	das	-e	Sie hat lange Haare.
Hackfleisch	b1	das		Geben Sie mir bitte 500g Hackfleisch.
Hafen	b1	der		Wenn du in Hamburg bist, musst du dir unbedingt den Hafen ansehen.
Halbpension	a1	die		Möchten Sie Vollpension oder Halbpension?
Halle	a1	die	-n	Wir treffen uns in Halle B.
Hals	a2	der	¨-e	Mir tut der Hals weh.
Haltestelle	a1	die	-n	An der nächsten Haltestelle müssen Sie aussteigen.
Hamburger	a2	der	-	Einen Hamburger ohne Salat, bitte.
Hand	a1	die	-ä, e	Er gibt mir die Hand.
Handel	b1	der		Der Handel mit Computern ist ein gutes Geschäft.
Handtuch	a2	das	¨-er	Gibst du mir bitte ein frisches Handtuch?
Handy	a1	das	-s	In der Schule bitte die Handys ausmachen!
Haupt-	b1			Berlin ist die Hauptstadt von Deutschland.
Hauptbahnhof	b1	der		Treffen wir uns am Hauptbahnhof?
Hauptstadt	a2	die	¨-e	Berlin ist die Hauptstadt von Deutschland.
Haus	a1	das	-ä, er(1)	In welchem Haus wohnst du?
Hausaufgabe	a1	die	-n	Kannst du mir bei den Hausaufgaben helfen?
Hausfrau	a1	die	-en/der Hausmann	Die Hausfrau/der Hausmann wäscht, kocht und kauft ein.
Hausfrau/der Hausmann	b1	die		Meine Frau ist Hausfrau und kümmert sich um die Kinder.
Haushalt	a2	der	-e	Wer macht bei euch den Haushalt? - Meine Frau und ich machen den Haushalt zusammen:
Hausmeister	b1	der		Der Hausmeister hat mir geholfen, den Schrank in die Wohnung zu tragen.
Haustier	b1	das	-e(1)	Hat deine Familie ein Haustier? − Ja, wir haben einen Hund.
Haut	b1	die		Haben Sie eine Creme für trockene Haut?
Heft	a2	das	-e	Hast du dein Heft dabei?
Heim	b1	das		Meine Oma wohnt in einem Seniorenheim.
Heimat	a1	die		Ich komme aus der Schweiz. Das ist meine Heimat.
Heimat (Sg.)	a2	die		Ich komme aus der Schweiz. Das ist meine Heimat.
Heimweh	b1	das		Ich habe oft Heimweh nach meiner Familie.
Heizung	a2	die	-en	Es ist kalt. Ist die Heizung kaputt?
Held	b1	der		Er spielt gern den Helden.
Heldin	b1	die		Sie ist die Heldin des Tages.
Hemd	a2	das	-en	Nick trägt heute ein neues Hemd.
Hend(e)l	b1	das		Zum Mittagessen gibt es Hendl mit Reis.
Herausforderung	b1	die		Das Spiel ist eine Herausforderung.
Herd	a1	der	-e	In der neuen Küche fehlt noch der Herd.
Herkunft	b1	die		Viele Leute fragen mich nach meiner Herkunft.
Herr	a1	der	-en	Guten Tag, Herr Sommer!
Hersteller	b1	der		Ihr Handy ist kaputt? Wir schicken es an den Hersteller zurück und lassen es reparieren.
Herz	b1	das		Ich bin ganz nervös. Mir klopft das Herz.
Hilfe	a1	die		Hilfe! Bitte helfen Sie mir!
Hilfe (Sg.)	a2	die		Hilfe! Bitte helfen Sie mir!
Himmel	b1	der		Wir hatten im Urlaub so tolles Wetter. Immer Sonne und blauer Himmel.
Himmel (Sg.)	a2	der		Heute ist so tolles Wetter: Der Himmel ist blau und es gibt keine Wolken.
Hinweis	b1	der		Die Polizei hat viele Hinweise zum Unfall bekommen.
Hitze	b1	die		Gestern war eine schreckliche Hitze!
Hobby	a1	das	-s	Meine Hobbys sind Wandern und Schwimmen.
Hochzeit	a1	die	-en	Zur dieser Hochzeit kommen mehr als fünfzig Gäste.
Hof	b1	der		Die Kinder spielen am liebsten im Hof.
Hoffnung	b1	die		Man darf die Hoffnung nicht verlieren.
Holz	b1	das		Möchten Sie ein Regal aus Holz oder aus Metall?
Homepage	a2	die	-s	Auf der Homepage von Freiburg gibt es alle wichtigen Informationen über die Stadt.
Honig	b1	der		Ich esse gern Brötchen mit Honig und Butter zum Frühstück.
Hose	a2	die	-n	Kann ich die Hose waschen?
Hotel	a1	das	-s	Im Urlaub sind wir in einem Hotel am Meer.
Humor	b1	der		Wir mögen Paul, weil er so viel Humor hat.
Hund	a1	der	-e	Der Hund ist noch jung.
Hunger	a1	der		Ich habe Hunger! Wann ist das Essen fertig?
Hunger (Sg.)	a2	der		Ich habe Hunger! Wann können wir endlich essen?
Husten	b1	der		Haben Sie ein Medikament gegen Husten?
Hut	b1	der		Sie sollten im Sommer nicht ohne Hut in die Sonne gehen.
Hähnchen	a1	das	-	Ein Hähnchen mit Pommes bitte!
Hähnchen/Hühnchen	b1	das		Zum Mittagessen gibt es Hühnchen mit Reis.
Händler	b1	der		Ich gehe zum Gemüsehändler, soll ich dir etwas mitbringen?
Höhe	b1	die		Mein Tisch hat folgende Maße: Länge: 1,20 m, Breite: 0,60 m, Höhe: 0,80 m.
Hörer	b1	der		Die Sendung hat viele Hörer und Hörerinnen.
Hügel	b1	der		Auf diesem Hügel machen wir eine Pause.
Hütte	b1	die		Wir übernachten in der Hütte auf dem Berg.
Idee	a2	die	-n	Was machen wir heute Abend? Hast du eine gute Idee?
Imbiss	b1	der		Es ist Zeit für einen kleinen Imbiss.
Import	b1	der		Im dritten Stock ist die Firma Schmidt & Co, Import und Export.
Industrie	b1	die		In dieser Gegend gibt es viel Industrie.
Infektion	b1	die		Sie haben eine Infektion. Sie müssen Tabletten nehmen.
Information	a1	die	-en(1)	Wenn Sie Fragen haben, gehen Sie zur Information.
Ingenieur	b1	der		Hans will Bauingenieur werden.
Inhalt	b1	der		Geben Sie den Inhalt der Packung in einen Liter kochendes Wasser.
Insel	a2	die	-n	Ich möchte im Sommer auf einer Insel Urlaub machen.
Inserat	b1	das		Was kostet ein Inserat in der Zeitung?
Institut	b1	das		Ich besuche einen Sprachkurs in einem kleinen Sprachinstitut.
Instrument	a2	das	-e	Ich spiele Klavier. Spielen Sie auch ein Instrument?
Integration	b1	die		Gute Deutschkenntnisse sollen bei der Integration helfen.
Intelligenz	b1	die		Meine Kinder haben in der Schule einen Intelligenztest gemacht.
Intensivkurs	b1	der		Der Intensivkurs findet täglich von 9 bis 12 Uhr statt.
Interesse	a2	das	-n	Ich habe viele Interessen: Sport, Lesen, Kultur, Reisen.
Internet	a1	das		Das findest du im Internet.
Internet (Sg.)	a2	das		Das findest du im Internet.
Interview	a2	das	-s	Komm schnell! Im Radio kommt ein Interview mit deinem Lieblingssänger.
Jacke	a1	die	-n	Zieh dir eine Jacke an. Es ist kalt.
Jause	b1	die		Es ist Zeit für eine kleine Jause.
Jeans (Pl.)	a2	die		Ich mag Jeans lieber als Röcke.
Job	a1	der	-s	Jenny hat einen neuen Job bei der Post.
Journalist	b1	der	-en(1)	Meine Tochter möchte Journalistin werden.
Journalistin	b1	die	-nen(1)	Meine Tochter möchte Journalistin werden.
Jugend	b1	die		In meiner Jugend habe ich mich sehr für Musik interessiert.
Jugendherberge	a2	die	-n	Wir übernachten in einer Jugendherberge.
Jugendliche	a1	der	-n	Viele Jugendliche kaufen gern ein.
Junge	a1	der	-n	Ich habe zwei Kinder. Einen Jungen und ein Mädchen.
Kabel	b1	das		Wo ist das Kabel für das Aufnahmegerät?
Kabine	b1	die		Um zu wählen, gehen Sie bitte in diese Kabine.
Kaffee	a1	der	-s	Zum Frühstück trinke ich immer Kaffee.
Kaffeehaus	b1	das		Hier in der Nähe ist ein Kaffeehaus.
Kakao	b1	der		Zum Frühstück trinke ich immer einen Kakao.
Kalender	a2	der	-	Haben Sie am Montag Zeit? - Einen Moment, ich schaue in meinem Kalender.
Kamera	a2	die	-s	Hannes hat eine neue Kamera. Er kann mit der Kamera Fotos und Filme machen.
Kampf	b1	der	¨-e(1)	Im Schulbus gibt es immer einen Kampf um die Sitzplätze.
Kanal	b1	der	¨-e(1)	Mit Kabel bekommen Sie über 30 Fernsehkanäle.
Kandidat	b1	der	-en(1)	Wie viele Kandidaten kommen zur Prüfung?
Kanne	b1	die	-n(1)	Das ist aber eine schöne Teekanne. – Ja, die ist aus China.
Kantine	b1	die	-n(1)	In unserer Kantine kann man günstig essen.
Kapitel	b1	das	-(1)	Die Lehrerin hat gesagt, wir sollen zwei Kapitel im Buch wiederholen.
Karneval	b1	der	-s/-e(1)	Dort hängt mein Kostüm für den Karnevals(um)zug.
Karotte	b1	die	-n(1)	Hasen fressen gern Karotten.
